;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51
real;100;9.75177305;100;25.83333333;1.5;100;5.147058824;100;100;100;1.315789474;4.166666667;94.84978541;100;2.564102564;6.310679612;3.305785124;15.65836299;100;91.4893617;100;100;17.31843575;17.70428016;12.6984127;98.46416382;100;79.55307263;83.94160584;15.98360656;54.60750853;100;90.90909091;97.08333333;98.99328859;26.21359223;100;57.33695652;18.18181818;6.060606061;2.997275204;100;2.135231317;41.56626506;32.59385666;16.90140845;28.125;100;99.51219512;35.86956522;19.73684211;21.55477032
real;100;32.59385666;5.109489051;100;2.602230483;28.0952381;2.4;100;79.55307263;11.8852459;41.56626506;100;96.82539683;100;4.240282686;98.99328859;100;97.05882353;35.0177305;97.30046948;100;85.9922179;23.60515021;95.75892857;91.82879377;57.33695652;99.6099844;100;0;91.4893617;100;99.64664311;6.008583691;100;2.919708029;100;100;21.55477032;100;20.98009188;6.310679612;25.83333333;2.997275204;100;94.79553903;100;16.90140845;100;5.294117647;95.29411765;36.39240506;97.08333333
real;27.96709753;54.60750853;98.99328859;2.997275204;100;100;1.50862069;8.724832215;94.93534483;100;100;97.08333333;97.52066116;3.305785124;100;41.56626506;99.6099844;3.205128205;94.84978541;97.88359788;83.94160584;4.240282686;95.29411765;100;100;93.71727749;98.46416382;100;9.75177305;94.79553903;23.60515021;91.4893617;16.90140845;100;1.5;21.55477032;5.147058824;17.70428016;14.53900709;9.779614325;26.21359223;17.31843575;99.58158996;94.1580756;3.03030303;11.15702479;95.01779359;100;28.125;100;98.05825243;100
real;94.79553903;100;12.82051282;91.4893617;100;98.99328859;100;32.59385666;86.68478261;100;100;3.305785124;100;36.39240506;23.60515021;21.76470588;25.83333333;100;88.01652893;4.60251046;1.486988848;100;100;100;21.30584192;5.147058824;2.4;100;2.602230483;100;93.71727749;2.135231317;15.98360656;19.34604905;100;97.52066116;91.82879377;1.50862069;91.66666667;54.60750853;97.88359788;98.04964539;99.51219512;100;27.96709753;35.0177305;100;100;41.43192488;17.31669267;6.166666667;100
real;100;2.135231317;15.65836299;33.18435754;100;16.90140845;100;100;100;40.24960998;100;41.43192488;35.0177305;97.88359788;100;99.58158996;94.1580756;2.602230483;79.55307263;11.9047619;96;5.147058824;100;98.05825243;100;54.60750853;90.90909091;7.936507937;91.66666667;19.73684211;27.96709753;11.8852459;1.5;3.03030303;100;99.6099844;37.80068729;100;3.305785124;97.05882353;26.21359223;32.59385666;5.294117647;100;6.310679612;4.87804878;85.9922179;17.77108434;38.13229572;28.72340426;20.98009188;97.82016349
real;5.294117647;100;35.0177305;100;79.55307263;40.24960998;83.94160584;100;98.77488515;19.34604905;1.5;8.225616921;2.135231317;100;100;14.43850267;95.75892857;100;88.8;100;97.30046948;11.8852459;100;5.109489051;5.291005291;100;12.82051282;94.57831325;100;100;94.24206816;28.125;14.53900709;17.31843575;6.060606061;28.0952381;2.919708029;3.305785124;98.99328859;1.167315175;94.28571429;21.55477032;1.486988848;100;5.147058824;98.46416382;91.82879377;100;91.4893617;36.39240506;100;94.73684211
real;28.72340426;2.4;5.109489051;33.5078534;100;100;99.58158996;24.33862434;14.78599222;1.167315175;3.205128205;79.55307263;32.59385666;5.915178571;35.0177305;11.9047619;100;94.24206816;94.93534483;97.88359788;1.101928375;18.18181818;17.31843575;98.05825243;40.24960998;100;97.82016349;100;41.56626506;16.90140845;11.15702479;100;98.04964539;25.83333333;100;7.112068966;94.57831325;100;97.52066116;15.65836299;96;8.90052356;1.5;4;100;100;94.28571429;100;4.240282686;100;100;21.30584192
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Pearson =  (0.9508488639990594, 4.123066896145045e-27);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;https://docs.scipy.org/doc/scipy-0.14.0/reference/generated/scipy.stats.pearsonr.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
